system:index,landcover,19-1_swir2,19-2_swir2,20-1_swir2,20-2_swir2,21-1_swir2,21-2_swir2,22-1_swir2,22-2_swir2,23-1_swir2,23-2_swir2
0000000000000000064b_0,0,0.0105,0.0196,0.0083,0.0192,0.0168,0.01385,0.0154,0.0156,0.0115,0.0286
000000000000000008cc_0,0,0.0687,0.0908,0.0841,0.0693,0.0585,0.0709,0.0723,0.0603,0.0789,0.0422
000000000000000004bb_0,0,0.1106,0.08245,0.1052,0.08,0.0922,0.0762,0.0835,0.1443,0.1828,0.1533
00000000000000000624_0,0,0.0845,0.0081,0.0044,0.01335,0.009,0.0071,0.0136,0.009,0.0189,0.0044
00000000000000000631_0,0,0.0157,0.00715,0.0037,0.00945,0.0053,0.0105,0.0145,0.0082,0.0172,0.0055
00000000000000000974_0,0,0.1125,0.1106,0.1375,0.1231,0.11785,0.10935,0.15245,0.17265,0.1906,0.1916
00000000000000000975_0,0,0.1604,0.1088,0.147,0.1471,0.12195,0.1011,0.1468,0.1131,0.1186,0.0758
00000000000000000617_0,0,0.15375,0.1056,0.13865,0.1224,0.12165,0.11365,0.1257,0.10885,0.12165,0.0999
0000000000000000012d_0,0,0.1197,0.0948,0.12535,0.1429,0.1412,0.0889,0.1108,0.1131,0.1712,0.1046
0000000000000000052b_0,0,0.0816,0.0763,0.0878,0.0799,0.07955,0.0893,0.08475,0.07565,0.0778,0.0713
00000000000000000579_0,0,0.0829,0.0711,0.117,0.0852,0.11565,0.0693,0.1195,0.06115,0.1007,0.04565
00000000000000000186_0,0,0.14385,0.11355,0.1392,0.1366,0.1372,0.1377,0.1358,0.1239,0.1404,0.1336
00000000000000000187_0,0,0.174,0.1029,0.11535,0.08395,0.1552,0.12445,0.14345,0.17675,0.1928,0.1858
00000000000000000898_0,0,0.145,0.0763,0.1615,0.1455,0.1751,0.10975,0.10185,0.0965,0.0866,0.168
0000000000000000017c_0,0,0.1117,0.099,0.11815,0.12965,0.1239,0.1296,0.1236,0.1284,0.1318,0.1288
0000000000000000013c_0,0,0.118,0.1095,0.143,0.09955,0.10625,0.09525,0.1037,0.098,0.1013,0.10905
00000000000000000911_0,0,0.2442,0.1322,0.1749,0.1009,0.10285,0.1853,0.04635,0.0831,0.0675,0.068
00000000000000000093_0,0,0.2435,0.12795,0.24885,0.1439,0.2241,0.1309,0.22645,0.1651,0.25025,0.1758
