system:index,blue_S2_1,green_S2_1,landcover_S2_1,nir_S2_1,red_S2_1,swir1_S2_1,swir2_S2_1,blue_S2_2,green_S2_2,landcover_S2_2,nir_S2_2,red_S2_2,swir1_S2_2,swir2_S2_2
000000000000000001b2_0,0.0624,0.0839,0,0.0163,0.0508,0.0104,0.0096,0.08845,0.1151,0,0.03205,0.0911,0.0149,0.0119
00000000000000000024_0,0.0418,0.0617,0,0.02325,0.0385,0.01705,0.01425,0.061,0.0862,0,0.0371,0.0565,0.0191,0.0168
0000000000000000005d_0,0.07505,0.09405,0,0.0237,0.05515,0.01595,0.01475,0.0716,0.0882,0,0.0079,0.0397,0.008,0.006
0000000000000000016e_0,0.0703,0.0923,0,0.0215,0.0563,0.0139,0.0107,0.08625,0.11865,0,0.0285,0.09465,0.0134,0.01005
00000000000000000109_0,0.0623,0.0826,0,0.0224,0.0487,0.0115,0.0086,0.0637,0.0804,0,0.02105,0.0453,0.0097,0.007
00000000000000000128_0,0.06615,0.079,0,0.02775,0.0439,0.02295,0.0187,0.0632,0.0802,0,0.0159,0.0376,0.0091,0.0078
000000000000000000d4_0,0.079,0.0757,0,0.0296,0.0401,0.0204,0.0148,0.05975,0.0538,0,0.01415,0.02005,0.0105,0.0091
0000000000000000017e_0,0.0806,0.09585,0,0.025,0.05735,0.0114,0.0062,0.083,0.10435,0,0.01435,0.05905,0.0076,0.0073
0000000000000000001d_0,0.0764,0.0783,0,0.0295,0.0414,0.0148,0.0103,0.0668,0.0749,0,0.0177,0.0346,0.0112,0.0086
00000000000000000183_0,0.08855,0.09565,0,0.02935,0.05165,0.01535,0.0105,0.0802,0.1063,0,0.0243,0.0546,0.016,0.0132
000000000000000000aa_0,0.0826,0.0954,0,0.0343,0.0627,0.0151,0.0131,0.0625,0.0804,0,0.02935,0.05105,0.02545,0.0245
000000000000000000f4_0,0.0798,0.1022,0,0.0318,0.0866,0.01265,0.00925,0.0903,0.1145,0,0.0391,0.088,0.0204,0.0132
000000000000000000cc_0,0.0535,0.0821,0,0.036,0.063,0.0163,0.0102,0.06855,0.09925,0,0.10455,0.07515,0.05165,0.03235
000000000000000000e7_0,0.06455,0.07505,0,0.03635,0.0551,0.0209,0.01565,0.06935,0.087,0,0.0361,0.06315,0.01715,0.01325
00000000000000000098_0,0.0834,0.0963,0,0.04345,0.07345,0.01865,0.01285,0.0479,0.0602,0,0.0132,0.0368,0.0087,0.0069
000000000000000001b3_0,0.0834,0.1131,0,0.0342,0.1014,0.0149,0.01035,0.0808,0.1081,0,0.0315,0.0918,0.0131,0.0108
00000000000000000063_0,0.0696,0.0947,0,0.0496,0.0631,0.0449,0.0413,0.0703,0.0958,0,0.02255,0.07265,0.0108,0.0077
00000000000000000092_0,0.109,0.1159,0,0.0433,0.0803,0.0193,0.0127,0.0616,0.08315,0,0.0151,0.0418,0.00815,0.0064
0000000000000000015e_0,0.0978,0.0975,0,0.0635,0.0741,0.057,0.0422,0.06775,0.0851,0,0.0524,0.0646,0.04445,0.034
000000000000000000e9_0,0.0791,0.10795,0,0.06435,0.09145,0.0296,0.0211,0.0832,0.1087,0,0.0317,0.0912,0.0228,0.0203
00000000000000000055_0,0.06245,0.08175,0,0.1084,0.0852,0.1042,0.0695,0.0593,0.0806,0,0.1577,0.0655,0.1114,0.0589
0000000000000000013b_0,0.0628,0.0842,0,0.1094,0.0931,0.1214,0.0947,0.0455,0.0535,0,0.049,0.0444,0.0337,0.0274
00000000000000000008_0,0.02845,0.04625,0,0.1747,0.03225,0.1034,0.0544,0.034,0.0738,0,0.3427,0.0393,0.1768,0.0798
00000000000000000213_0,0.0468,0.0647,1,0.1776,0.0533,0.0971,0.0653,0.0454,0.0622,1,0.1818,0.0475,0.0887,0.0529
000000000000000000ed_0,0.0689,0.0881,0,0.1678,0.08035,0.16075,0.1162,0.0774,0.1056,0,0.1669,0.1082,0.1463,0.1175
00000000000000000212_0,0.0451,0.0662,1,0.18205,0.04755,0.0687,0.03015,0.0441,0.069,1,0.2038,0.0394,0.0471,0.019
00000000000000000051_0,0.1077,0.1309,0,0.1845,0.1319,0.2051,0.1866,0.12305,0.1606,0,0.28345,0.16705,0.2575,0.2112
0000000000000000016b_0,0.0439,0.0685,0,0.1845,0.0847,0.1468,0.1021,0.0592,0.07845,0,0.31465,0.0633,0.1925,0.09865
00000000000000000085_0,0.1128,0.1392,0,0.2119,0.1651,0.2354,0.2055,0.1269,0.14735,0,0.22685,0.15775,0.2227,0.19005
000000000000000001a2_0,0.0516,0.06975,0,0.2268,0.0718,0.2309,0.1627,0.03665,0.0672,0,0.3595,0.0461,0.233,0.1143
00000000000000000069_0,0.1374,0.1455,0,0.2034,0.1454,0.1987,0.1618,0.137,0.14845,0,0.2219,0.13605,0.19235,0.1634
000000000000000001a4_0,0.0616,0.07935,0,0.20265,0.0823,0.17905,0.1298,0.0666,0.0859,0,0.27555,0.08265,0.1984,0.1356
00000000000000000058_0,0.0559,0.0698,0,0.215,0.0602,0.1353,0.0735,0.08165,0.12475,0,0.31295,0.14985,0.3267,0.28435
00000000000000000169_0,0.07635,0.1008,0,0.2029,0.11845,0.2477,0.1781,0.08,0.1079,0,0.2204,0.1271,0.2666,0.1879
