system:index,blue_L8_1,green_L8_1,landcover_L8_1,nir_L8_1,red_L8_1,swir1_L8_1,swir2_L8_1,blue_S2_1,green_S2_1,landcover_S2_1,nir_S2_1,red_S2_1,swir1_S2_1,swir2_S2_1
00000000000000000156_0,0.0609800000000001,0.0935200000000001,0,0.3238,0.0831800000000001,0.23534,0.13314,0.04845,0.06325,0,0.18685,0.0565,0.19205,0.11675
00000000000000000157_0,0.03584,0.0902000000000001,0,0.0,0.02984,0.0138,0.01284,0.09445,0.1068,0,0.0351,0.06525,0.01625,0.01095
00000000000000000159_0,0.02572,0.0927600000000001,0,0.00624,0.05304,0.00732,0.00816,0.0882,0.11235,0,0.0366,0.0921,0.0145,0.011
0000000000000000015b_0,0.148,0.18164,0,0.25352,0.1952,0.28112,0.25776,0.06575,0.08215,0,0.1278,0.08975,0.16245,0.13775
0000000000000000015c_0,0.05916,0.0934800000000001,0,0.32328,0.10076,0.26264,0.16848,0.08425,0.11155,0,0.2957,0.12285,0.32315,0.25195
0000000000000000015f_0,0.11908,0.14488,0,0.0976400000000001,0.1312,0.0559600000000001,0.0385200000000001,0.0911,0.1251,0,0.0335,0.0912,0.023,0.0198
00000000000000000160_0,0.02184,0.05976,0,0.0707600000000001,0.04272,0.04044,0.0304,0.02,0.035,0,0.0247,0.0207,0.0219,0.0127
00000000000000000163_0,0.10012,0.14092,0,0.43248,0.1314,0.33864,0.22604,0.054,0.0737,0,0.261,0.0688,0.2086,0.1477
00000000000000000167_0,0.0560600000000001,0.0919400000000001,0,0.35942,0.0873200000000001,0.287,0.15602,0.0504,0.0719,0,0.249,0.0671,0.2341,0.1429
0000000000000000016a_0,0.26396,0.41916,0,0.60728,0.51724,0.64436,0.442,0.2233,0.2956,0,0.3768,0.3534,0.4891,0.3811
0000000000000000016c_0,0.129,0.14824,0,0.21396,0.14836,0.22768,0.21552,0.10405,0.1145,0,0.15625,0.1225,0.17655,0.1674
0000000000000000016f_0,0.0394800000000001,0.0680000000000001,0,0.45584,0.0362400000000001,0.18764,0.06592,0.042,0.0519,0,0.2844,0.0358,0.1461,0.0574
00000000000000000173_0,0.13464,0.18992,0,0.36868,0.21944,0.42972,0.2702,0.10675,0.1595,0,0.2393,0.18505,0.2225,0.14975
00000000000000000174_0,0.0362400000000001,0.0812000000000001,0,0.0545200000000001,0.0495600000000001,0.08024,0.0636800000000001,0.08215,0.08895,0,0.0608,0.0684,0.0666,0.05265
00000000000000000175_0,0.0254,0.0508400000000001,0,0.02408,0.042,0.01868,0.01492,0.0759,0.0824,0,0.0559,0.0654,0.0261,0.0189
00000000000000000176_0,0.05888,0.0878,0,0.0416,0.05432,0.0439600000000001,0.03916,0.1094,0.1128,0,0.0468,0.0723,0.0258,0.0163
00000000000000000177_0,0.10996,0.13912,0,0.3268,0.14448,0.40412,0.28602,0.0719,0.09445,0,0.2211,0.1045,0.3035,0.2228
