system:index,blue_L8_1,green_L8_1,landcover_L8_1,nir_L8_1,red_L8_1,swir1_L8_1,swir2_L8_1,blue_L8_2,green_L8_2,landcover_L8_2,nir_L8_2,red_L8_2,swir1_L8_2,swir2_L8_2
00000000000000000211_0,0.0393600000000001,0.07424,1,0.3644,0.0545200000000001,0.13384,0.05576,0.0485600000000001,0.0996800000000001,1,0.38012,0.07048,0.13916,0.05276
000000000000000001e7_0,0.05452,0.09138,1,0.31292,0.07048,0.1138,0.048,0.0543400000000001,0.0900800000000001,1,0.3604,0.0700200000000001,0.14624,0.06128
000000000000000001f0_0,0.0357800000000001,0.08016,1,0.22942,0.0706600000000001,0.08906,0.0417800000000001,0.0280000000000001,0.0685800000000001,1,0.21156,0.05674,0.0832600000000001,0.0385200000000001
000000000000000001dd_0,0.0933600000000001,0.12772,1,0.33116,0.12052,0.2034,0.11948,0.0714400000000001,0.11064,1,0.34272,0.0858800000000001,0.1492,0.0599600000000001
000000000000000001d8_0,0.0443600000000001,0.0986400000000001,1,0.38088,0.0584400000000001,0.12436,0.04728,0.0374,0.0874400000000001,1,0.40352,0.04948,0.1324,0.04384
000000000000000001dc_0,0.0219,0.06794,1,0.32302,0.0489,0.12284,0.0533,0.04928,0.11268,1,0.35124,0.08524,0.15608,0.0654400000000001
000000000000000001df_0,0.05938,0.0966400000000001,1,0.3689,0.0748200000000001,0.18682,0.08094,0.04842,0.0905400000000001,1,0.4099,0.0633600000000001,0.19188,0.0784600000000001
000000000000000001c7_0,0.0750400000000001,0.12376,1,0.0824,0.104,0.03316,0.0198,0.0869200000000001,0.13016,1,0.20548,0.1358,0.16736,0.09784
0000000000000000020e_0,0.0354600000000001,0.07522,1,0.36298,0.06024,0.12464,0.0533400000000001,0.04272,0.09728,1,0.35916,0.0807200000000001,0.1584,0.0810000000000001
000000000000000001cb_0,0.03448,0.06764,1,0.3377,0.0505400000000001,0.10112,0.0439600000000001,0.0485200000000001,0.0904800000000001,1,0.32704,0.0777600000000001,0.1352,0.07492
000000000000000001ed_0,0.0880400000000001,0.12552,1,0.11144,0.0952000000000001,0.03344,0.01556,0.05898,0.09734,1,0.09928,0.0714400000000001,0.0313,0.01472
000000000000000001e0_0,0.08628,0.1332,1,0.1196,0.1012,0.0374800000000001,0.01612,0.0619,0.09598,1,0.11784,0.07628,0.0509600000000001,0.02552
00000000000000000216_0,0.04084,0.0713200000000001,1,0.33328,0.0504000000000001,0.12024,0.04504,0.04648,0.092,1,0.3512,0.0612800000000001,0.12556,0.0450800000000001
00000000000000000210_0,0.03996,0.07488,1,0.2422,0.06096,0.0826200000000001,0.0407,0.03828,0.0759800000000001,1,0.24822,0.0563,0.0823,0.0382800000000001
000000000000000001e2_0,0.0538000000000001,0.0993200000000001,1,0.34664,0.0972400000000001,0.27516,0.1486,0.03898,0.0955600000000001,1,0.50588,0.0817400000000001,0.2712,0.13956
00000000000000000206_0,0.10752,0.14664,1,0.14716,0.12904,0.12028,0.0824400000000001,0.09368,0.12856,1,0.12968,0.11556,0.11192,0.0698800000000001
000000000000000001e1_0,0.06704,0.0931600000000001,1,0.30004,0.08108,0.15816,0.0724000000000001,0.0768,0.1178,1,0.31624,0.0942400000000001,0.15196,0.0569600000000001
000000000000000000e4_0,0.05088,0.08252,1,0.21448,0.0698400000000001,0.0873600000000001,0.04704,0.05176,0.0888800000000001,1,0.25008,0.0696000000000001,0.0934400000000001,0.0434800000000001
000000000000000000d1_0,0.06048,0.09544,0,0.0300800000000001,0.05188,0.0211600000000001,0.0153200000000001,0.0387,0.0943600000000001,0,0.000560000000000033,0.0487000000000001,0.009,0.00914
00000000000000000024_0,0.0486400000000001,0.0938000000000001,0,0.0672800000000001,0.0724400000000001,0.0423600000000001,0.02924,0.0307600000000001,0.0813200000000001,0,0.0349600000000001,0.0551200000000001,0.0201600000000001,0.0136000000000001
0000000000000000005d_0,0.10684,0.14932,0,0.07696,0.11088,0.0656000000000001,0.0511200000000001,0.06692,0.13124,0,0.0606200000000001,0.0826800000000001,0.05996,0.0487600000000001
0000000000000000016e_0,0.0284800000000001,0.09668,0,0.00756,0.0585600000000001,0.0064,0.00748,0.0718200000000001,0.14664,0,0.00932,0.11054,0.00664,0.00606
00000000000000000128_0,0.04072,0.11372,0,0.0444800000000001,0.06092,0.03712,0.03,0.0305000000000001,0.0701600000000001,0,0.01298,0.0246,0.02374,0.02248
000000000000000000d4_0,0.0377400000000001,0.0578600000000001,0,0.00124,0.00748,0.01474,0.01534,0.0248,0.0243200000000001,0,0.0,0.0,0.01252,0.0132
0000000000000000001d_0,0.0316,0.0729200000000001,0,0.0,0.0117,0.01266,0.01444,0.0171800000000001,0.0473,0,0.00526,0.0135,0.0116600000000001,0.01186
00000000000000000183_0,0.03412,0.11026,0,0.01614,0.05082,0.0375200000000001,0.0354600000000001,0.11812,0.15584,0,0.05148,0.0989600000000001,0.01956,0.01224
000000000000000000aa_0,0.0525000000000001,0.0971200000000001,0,0.0478200000000001,0.0625600000000001,0.0277400000000001,0.02174,0.0410400000000001,0.0805600000000001,0,0.03318,0.0489200000000001,0.0341400000000001,0.03002
000000000000000000f4_0,0.10184,0.13672,0,0.05988,0.10864,0.0182000000000001,0.00952,0.0462000000000001,0.13818,0,0.0309400000000001,0.10588,0.01842,0.0128200000000001
000000000000000000cc_0,0.0784400000000001,0.11772,0,0.0606800000000001,0.09716,0.0167200000000001,0.01152,0.0846200000000001,0.12916,0,0.1147,0.10922,0.0506,0.0272400000000001
000000000000000000e7_0,0.0718,0.0909200000000001,0,0.05816,0.0695600000000001,0.01836,0.01052,0.0787200000000001,0.11504,0,0.04948,0.0929200000000001,0.0199200000000001,0.0134400000000001
00000000000000000098_0,0.04116,0.0750400000000001,0,0.0223200000000001,0.0448000000000001,0.01268,0.00844,0.03332,0.07378,0,0.03482,0.05546,0.0348,0.0301800000000001
000000000000000001b3_0,0.10944,0.14892,0,0.05192,0.12644,0.01608,0.00928,0.11718,0.16356,0,0.04802,0.1434,0.0165800000000001,0.00982
00000000000000000092_0,0.04596,0.08402,0,0.0,0.02602,0.00402,0.00546,0.0516800000000001,0.0970800000000001,0,0.01612,0.04032,0.02128,0.01764
0000000000000000015e_0,0.023,0.0598400000000001,0,0.0254,0.0277600000000001,0.041,0.0322000000000001,0.0951600000000001,0.11024,0,0.0621200000000001,0.0782000000000001,0.0452000000000001,0.02868
000000000000000000e9_0,0.0794800000000001,0.11348,0,0.05004,0.10796,0.0253200000000001,0.02124,0.0626,0.0994000000000001,0,0.02362,0.0811400000000001,0.01438,0.0101
00000000000000000055_0,0.0834200000000001,0.11002,0,0.20644,0.10528,0.21334,0.13006,0.0733400000000001,0.10942,0,0.26748,0.11474,0.21664,0.1186
0000000000000000013b_0,0.0913600000000001,0.1176,0,0.11124,0.11396,0.0893200000000001,0.06208,0.05592,0.0832800000000001,0,0.1528,0.0728400000000001,0.0894400000000001,0.06576
00000000000000000008_0,0.04444,0.0827200000000001,0,0.3172,0.04944,0.18948,0.10748,0.01362,0.0368200000000001,0,0.21016,0.01932,0.08684,0.03714
00000000000000000213_0,0.0686800000000001,0.11304,1,0.1234,0.0952000000000001,0.0505200000000001,0.03244,0.0756200000000001,0.11132,1,0.13822,0.1043,0.04864,0.0279
000000000000000000ed_0,0.0944,0.13804,0,0.20112,0.12856,0.15324,0.10212,0.08584,0.12932,0,0.215,0.11876,0.16244,0.09716
00000000000000000212_0,0.0451200000000001,0.0844,1,0.3084,0.0737200000000001,0.14032,0.0560000000000001,0.03684,0.09328,1,0.31788,0.05892,0.12908,0.0530800000000001
00000000000000000051_0,0.1242,0.16044,0,0.29232,0.16604,0.24864,0.19468,0.1342,0.17636,0,0.38028,0.18728,0.29264,0.20824
0000000000000000016b_0,0.0615000000000001,0.10254,0,0.3134,0.1124,0.22426,0.14804,0.0508800000000001,0.0897600000000001,0,0.41958,0.0756600000000001,0.23546,0.10762
000000000000000001a2_0,0.0608000000000001,0.0973200000000001,0,0.40142,0.0857600000000001,0.27668,0.16276,0.1967,0.25018,0,0.63644,0.2284,0.4147,0.24604
00000000000000000069_0,0.0,0.0707600000000001,0,0.30384,0.07296,0.31652,0.23688,0.12616,0.17432,0,0.3422,0.1662,0.27004,0.18168
000000000000000001a4_0,0.0846000000000001,0.115,0,0.36076,0.10412,0.25524,0.16032,0.0618400000000001,0.0956000000000001,0,0.35724,0.0873200000000001,0.20512,0.12648
00000000000000000058_0,0.0744400000000001,0.11562,0,0.32792,0.1413,0.37822,0.26226,0.14338,0.26164,0,0.54496,0.3304,0.62674,0.50476
00000000000000000169_0,0.0992000000000001,0.12668,0,0.28132,0.1334,0.31108,0.20028,0.1154,0.14792,0,0.30748,0.15268,0.32232,0.1964
00000000000000000009_0,0.0700200000000001,0.09926,0,0.3472,0.1004,0.21164,0.13056,0.04228,0.0768400000000001,0,0.4738,0.0667200000000001,0.21792,0.1114
00000000000000000112_0,0.11922,0.17018,0,0.361,0.1822,0.30166,0.22088,0.13542,0.1855,0,0.4158,0.19202,0.34742,0.24248
0000000000000000003c_0,0.0869200000000001,0.11416,0,0.34372,0.10332,0.2258,0.13488,0.09496,0.13576,0,0.401,0.11832,0.26364,0.14256
00000000000000000208_0,0.0897200000000001,0.12618,1,0.18676,0.10746,0.0898000000000001,0.05484,0.0747600000000001,0.1124,1,0.22852,0.0913600000000001,0.11284,0.0566800000000001
