system:index,landcover,19-1_nir,19-2_nir,20-1_nir,20-2_nir,21-1_nir,21-2_nir,22-1_nir,22-2_nir,23-1_nir,23-2_nir
000000000000000004dc_0,0,0.06265,0.0831,0.0784,0.0934,0.0479,0.0908,0.0949,0.09775,0.1144,0.0513
00000000000000000511_0,0,0.34055,0.2954,0.2509,0.2988,0.2513,0.2732,0.2412,0.3121,0.2713,0.3363
00000000000000000037_0,0,0.3244,0.37145,0.3244,0.3446,0.33625,0.3438,0.29915,0.3684,0.4589,0.34725
00000000000000000196_0,0,0.34465,0.3439,0.3002,0.3657,0.2832,0.3631,0.2694,0.34015,0.2916,0.3323
000000000000000000ff_0,0,0.02485,0.0167,0.0025,0.0354,0.01365,0.0157,0.0107,0.0079,0.0266,0.0075
0000000000000000044b_0,0,0.3333,0.3272,0.3228,0.3346,0.3076,0.3074,0.3034,0.3854,0.315,0.3282
000000000000000004a3_0,0,0.2728,0.3408,0.3362,0.2201,0.3538,0.2136,0.2882,0.22505,0.3029,0.27695
000000000000000004cc_0,0,0.16925,0.27885,0.36775,0.3486999999999999,0.3219,0.3053,0.18505,0.3897,0.26205,0.3223
00000000000000000025_0,0,0.2285,0.2693,0.23175,0.2781,0.22135,0.2733,0.245,0.348,0.3211,0.3337
0000000000000000000e_0,0,0.3124,0.3734,0.355,0.3198,0.301,0.4103,0.2434,0.4254,0.1776,0.1965
00000000000000000937_0,0,0.3341,0.316,0.307,0.2773,0.24765,0.3094,0.3046,0.3572,0.30805,0.2951
00000000000000000472_0,0,0.29915,0.3515,0.2977,0.3684999999999999,0.2777,0.36155,0.22375,0.3967,0.2904,0.3168
000000000000000004ed_0,0,0.3726,0.4047,0.3271,0.38515,0.2626,0.39475,0.2791,0.42475,0.3431,0.3568
00000000000000000a1b_0,0,0.0356,0.0214,0.02325,0.0371,0.02915,0.0246,0.0266,0.0227,0.0283,0.0135
0000000000000000003d_0,0,0.3088,0.3423,0.29215,0.3046,0.3769,0.3895,0.33115,0.3964,0.32125,0.3397
00000000000000000044_0,0,0.0471,0.0596,0.0192,0.0294,0.0428,0.0166,0.0092,0.0330499999999999,0.0224,0.0242
000000000000000000ea_0,0,0.039,0.0164,0.0143,0.0305,0.0124,0.0199,0.0152,0.0131,0.0384,0.0121
000000000000000001c7_0,0,0.0451,0.0238,0.00775,0.0262,0.01775,0.0138,0.0185,0.0147,0.0539,0.0096
00000000000000000006_0,0,0.1994,0.1607,0.1484,0.229,0.147,0.2837,0.2453,0.344,0.36884,0.1715
00000000000000000141_0,0,0.3644,0.46995,0.2863,0.44225,0.24475,0.48145,0.3493,0.6108500000000001,0.4421,0.3985
00000000000000000933_0,0,0.2726,0.3456,0.3099,0.3734,0.2844,0.2893,0.3012,0.3335,0.3091,0.2673
0000000000000000034e_0,0,0.1511,0.0266,0.0149,0.1953,0.2132,0.0177,0.0155,0.2498,0.2606,0.024
00000000000000000a3e_0,0,0.2443,0.2821,0.2239,0.2626,0.25695,0.2364,0.2436,0.3149,0.2879,0.29145
0000000000000000011f_0,0,0.29355,0.3293,0.258,0.3074,0.2455,0.2794,0.2071,0.4015,0.3162,0.3018
000000000000000001a4_0,0,0.0529,0.0328,0.0329,0.031,0.0346,0.0382,0.0294,0.0401,0.0671,0.0224
00000000000000000855_0,0,0.3078,0.35055,0.34015,0.3898,0.32375,0.45355,0.3659,0.4409,0.32555,0.448
00000000000000000069_0,0,0.2416,0.2338,0.19785,0.1966,0.1604,0.2217,0.2967,0.323,0.2614,0.2556
00000000000000000067_0,0,0.2847,0.41275,0.3291,0.35955,0.3153,0.41145,0.3596,0.3568,0.32455,0.3725
000000000000000004b4_0,0,0.40025,0.38675,0.3053,0.3895,0.3117,0.4106,0.3388,0.4736999999999999,0.3545,0.4095
00000000000000000934_0,0,0.2346,0.1848,0.1698,0.2047,0.1731,0.1729,0.1314,0.1635,0.1445,0.2187
0000000000000000007b_0,0,0.2789,0.3032,0.2271,0.3027,0.25955,0.33275,0.322,0.43215,0.36255,0.31105
