system:index,landcover,19-1_blue,19-2_blue,20-1_blue,20-2_blue,21-1_blue,21-2_blue,22-1_blue,22-2_blue,23-1_blue,23-2_blue
00000000000000000056_0,0,0.0418,0.0281,0.0287,0.03335,0.0331,0.0285,0.0281,0.0273,0.0488,0.0334
00000000000000000085_0,0,0.076,0.05435,0.0287,0.0535,0.04305,0.0425,0.04,0.034,0.1084,0.0458
00000000000000000469_0,0,0.0452,0.0296,0.0287,0.042,0.0585,0.0187,0.0358,0.0256999999999999,0.0573,0.0315
0000000000000000002a_0,0,0.04295,0.03405,0.0288,0.0294,0.034,0.03355,0.0371,0.0264,0.0403,0.0284
00000000000000000445_0,0,0.0394,0.03805,0.0289,0.0339,0.039,0.0325,0.0387,0.0342,0.0388,0.0259
000000000000000001e2_0,0,0.07425,0.0594,0.029,0.0632,0.0536,0.048,0.065,0.0531,0.0858,0.0395
000000000000000000c7_0,0,0.05225,0.0396,0.0291,0.03935,0.041,0.0373,0.0387,0.0391,0.0824,0.0334
00000000000000000464_0,0,0.0387,0.03875,0.0291,0.036,0.0357,0.0332,0.03065,0.0229,0.06205,0.0244
0000000000000000049c_0,0,0.0321,0.0466,0.0291,0.0412,0.0414,0.0304,0.0379,0.0294,0.0384,0.0328
0000000000000000048b_0,0,0.038,0.0406,0.0295,0.0433,0.0589,0.0433,0.04595,0.03275,0.0473,0.0349
00000000000000000028_0,0,0.0313,0.0421,0.0296,0.0389,0.0415,0.03145,0.0485,0.0458,0.0627,0.0578
00000000000000000123_0,0,0.0431,0.0437,0.0296,0.0455,0.0427,0.0438,0.0531,0.0467,0.0455,0.0399
00000000000000000452_0,0,0.03735,0.0386,0.0296,0.0345,0.0364,0.0364,0.0598,0.05375,0.0808,0.0587
0000000000000000003c_0,0,0.0892,0.0358,0.02965,0.0403,0.0239,0.0292,0.0292,0.037,0.0755,0.0322
00000000000000000912_0,0,0.0352,0.02482,0.02975,0.026,0.0315,0.02495,0.02585,0.02415,0.0254,0.02275
000000000000000004dd_0,0,0.05155,0.0542,0.03,0.0554,0.0487,0.0313,0.0383,0.0392,0.041,0.0707
00000000000000000523_0,0,0.0412,0.039,0.03,0.0847,0.0403,0.03965,0.0468,0.0373,0.0877,0.0321
00000000000000000034_0,0,0.0299,0.03855,0.0301,0.0367,0.0553,0.0325,0.0405,0.0302,0.0424,0.0297
0000000000000000006f_0,0,0.0459,0.0515,0.0301,0.0454,0.0727,0.0392,0.0503,0.0651,0.0712,0.0646
0000000000000000000b_0,0,0.02685,0.0424,0.0302,0.0303,0.05,0.0471,0.0635,0.0385,0.0371,0.0398
00000000000000000073_0,0,0.0497,0.0436,0.0303,0.0432,0.0421,0.0375,0.0557,0.06425,0.1072,0.0489
