system:index,landcover,19-1_red,19-2_red,20-1_red,20-2_red,21-1_red,21-2_red,22-1_red,22-2_red,23-1_red,23-2_red
0000000000000000054d_0,0,0.0362,0.08,0.1039,0.0782,0.0856,0.0573,0.0861,0.0646,0.095,0.0702
000000000000000004c2_0,0,0.0581,0.0391,0.0549,0.0377,0.05065,0.0414,0.05695,0.0255,0.04565,0.04135
00000000000000000539_0,0,0.0959,0.12935,0.0586,0.08705,0.0688,0.1346,0.08575,0.09695,0.0747,0.09675
00000000000000000837_0,0,0.035,0.08035,0.0792,0.07965,0.06925,0.0544,0.0645,0.0376,0.0558,0.0655
00000000000000000081_0,0,0.05505,0.0462,0.0665999999999999,0.0369,0.04615,0.0341,0.0445,0.0268,0.0415,0.0303
00000000000000000569_0,0,0.0405,0.0527,0.08045,0.08355,0.0581,0.06295,0.0585,0.0506,0.0934,0.0834
00000000000000000846_0,0,0.0291,0.0362,0.0314,0.0594,0.0283,0.04145,0.0255,0.0319,0.0898,0.0249
000000000000000004da_0,0,0.0544,0.05225,0.06255,0.053,0.06795,0.0501,0.0772,0.04885,0.0662,0.06155
00000000000000000140_0,0,0.05835,0.0882,0.0821,0.0882,0.0794,0.0884,0.0691,0.06535,0.0796,0.0811
00000000000000000547_0,0,0.1319,0.0771,0.0893,0.0669,0.0705,0.0454,0.15775,0.0411,0.09475,0.06865
000000000000000000fb_0,0,0.0341,0.032,0.0308,0.0501,0.02655,0.0285,0.0275,0.0258,0.0817,0.0269
0000000000000000015c_0,0,0.0678,0.0745,0.0733,0.0754,0.0705,0.0729,0.066,0.0739,0.087,0.0738
000000000000000004ca_0,0,0.0678,0.118,0.1016,0.06545,0.0888,0.07935,0.1132,0.0547,0.2967600000000001,0.2036
0000000000000000008b_0,0,0.0646,0.0499,0.06575,0.0445,0.0718,0.0646,0.06725,0.04435,0.0613,0.0452
00000000000000000a37_0,0,0.0796,0.0656,0.0718,0.0461,0.0851,0.0443,0.05555,0.037,0.0663,0.0314
0000000000000000006d_0,0,0.0363,0.04655,0.0552,0.0432,0.0413,0.0324,0.0409,0.0306,0.0397,0.0443
0000000000000000057a_0,0,0.0642,0.046,0.0787,0.0763,0.0812,0.1051,0.1077,0.07935,0.1001,0.1053
000000000000000008bf_0,0,0.0541,0.0631,0.0686,0.0526,0.063,0.04875,0.05995,0.0607,0.0567,0.0457
00000000000000000101_0,0,0.06815,0.0609,0.0681,0.06665,0.08325,0.0677,0.0618,0.158,0.1145,0.098
000000000000000004fc_0,0,0.06255,0.0538,0.0652,0.0575,0.0564,0.04635,0.0417,0.04535,0.0506,0.0468
000000000000000000a3_0,0,0.07535,0.0487,0.0943,0.04915,0.0588,0.0495,0.0779,0.04095,0.0928,0.0398
00000000000000000094_0,0,0.0622,0.0463,0.0663,0.05405,0.0702,0.0554,0.05295,0.0279,0.06255,0.0407
0000000000000000016e_0,0,0.056,0.07875,0.0843,0.0623,0.069,0.0558,0.09005,0.0588,0.0927,0.0694
00000000000000000527_0,0,0.0612,0.0491,0.0584,0.0507,0.055,0.04595,0.0547,0.0381,0.0608,0.0489
0000000000000000082c_0,0,0.057,0.038,0.05515,0.0391,0.0551,0.0427,0.0414,0.02715,0.0322,0.0282
000000000000000001c1_0,0,0.0582,0.0453,0.0367,0.05645,0.03035,0.0434,0.0348,0.043,0.0809,0.0381
0000000000000000046b_0,0,0.0362,0.04775,0.0619,0.0451,0.09395,0.038,0.0578,0.0373,0.04525,0.042
000000000000000000c0_0,0,0.038,0.08505,0.08345,0.042,0.0707,0.0459,0.1105,0.1186,0.0482,0.0139
00000000000000000163_0,0,0.0823,0.0552,0.0647,0.055,0.102,0.0884,0.055,0.0546,0.0813,0.0734
0000000000000000050e_0,0,0.0633,0.05815,0.0615,0.0567,0.05855,0.04885,0.0426,0.06605,0.0621,0.0448999999999999
000000000000000001df_0,0,0.0428,0.0862,0.083,0.044,0.04655,0.04075,0.057,0.0342,0.083,0.0626
000000000000000004db_0,0,0.0518,0.0999,0.0803,0.04955,0.055,0.0771,0.0892,0.1063,0.11015,0.0299
00000000000000000024_0,0,0.0485,0.0406,0.06045,0.03875,0.05685,0.0585,0.1304,0.1759,0.1627,0.1172
000000000000000008dd_0,0,0.1095,0.04045,0.07655,0.0612,0.1003,0.06445,0.08545,0.0596,0.0656,0.0617
000000000000000008ed_0,0,0.0722,0.0721,0.0901,0.0642,0.091,0.05875,0.0585,0.0552,0.0652,0.0421
00000000000000000041_0,0,0.0608,0.0365,0.04745,0.0392,0.0542,0.03565,0.1968,0.0481,0.11485,0.02825
000000000000000001f5_0,0,0.0417499999999999,0.0485,0.0336,0.0569999999999999,0.0319,0.0343,0.0377,0.0455,0.0816,0.0367
000000000000000001fd_0,0,0.0432,0.0451,0.0418,0.0611,0.0409,0.0313,0.0433,0.0505,0.0866,0.0341
00000000000000000334_0,0,0.10815,0.0894,0.062,0.09475,0.09055,0.0763,0.0685,0.1086,0.0956,0.07405
000000000000000004a9_0,0,0.0726,0.0631,0.083,0.0621,0.0684,0.0616,0.049,0.0448,0.04935,0.02845
00000000000000000554_0,0,0.0545,0.0496,0.06825,0.0972,0.13215,0.09365,0.1224,0.1019,0.095,0.0828
00000000000000000204_0,0,0.05935,0.0495,0.0702,0.0759,0.0754,0.0622,0.0769,0.0511,0.0961,0.0513999999999999
00000000000000000555_0,0,0.10155,0.0980999999999999,0.1026,0.0992,0.0944,0.126,0.1148,0.12345,0.1275,0.1299
000000000000000000dc_0,0,0.0965,0.045,0.0743,0.0518,0.05475,0.03435,0.0417,0.02545,0.0341,0.0228
00000000000000000560_0,0,0.0674,0.0671,0.08255,0.0935,0.0793,0.0673,0.0585,0.10025,0.1027,0.0959
00000000000000000943_0,0,0.0794,0.09335,0.0743,0.08085,0.0809,0.07765,0.07585,0.07855,0.07495,0.0768
0000000000000000046c_0,0,0.1473,0.0708,0.06695,0.0338,0.0426,0.03525,0.0423,0.0317,0.042,0.0377
0000000000000000014f_0,0,0.0529,0.0543,0.0648,0.0531,0.0951,0.2005,0.1782,0.16,0.1668,0.246
000000000000000005a9_0,0,0.04475,0.0544,0.0572,0.0582,0.0415,0.0508,0.0691,0.0635,0.0886,0.0314
000000000000000004f5_0,0,0.0752,0.06025,0.08795,0.06545,0.088,0.0592,0.1082,0.0437,0.05925,0.0338
0000000000000000051a_0,0,0.06545,0.0594,0.0644,0.0545,0.06375,0.0472,0.05345,0.03525,0.0415,0.0301
000000000000000000c1_0,0,0.05,0.0616,0.0473,0.03445,0.08485,0.0301,0.05825,0.0412,0.0758,0.0564
00000000000000000174_0,0,0.0587,0.052,0.0652,0.063,0.0684,0.05885,0.0948,0.0457,0.0507,0.068
0000000000000000048a_0,0,0.031,0.02395,0.0645,0.0497,0.034,0.026,0.0281,0.0254,0.0512,0.0397
000000000000000000a7_0,0,0.0505,0.0432,0.05505,0.03435,0.0493,0.03305,0.04965,0.0391,0.0434,0.0282
00000000000000000117_0,0,0.04985,0.0417,0.06,0.0477,0.07125,0.0317,0.0388499999999999,0.02535,0.04055,0.03095
00000000000000000441_0,0,0.03335,0.0382499999999999,0.06,0.0253,0.04195,0.0219,0.0738,0.01975,0.04925,0.02285
00000000000000000a40_0,0,0.151,0.1034,0.0875,0.2327,0.2718,0.19125,0.2136,0.2491,0.1892,0.15885
00000000000000000279_0,0,0.0634,0.0794,0.0666,0.0713,0.1489,0.0746,0.08875,0.06985,0.1003,0.08
00000000000000000092_0,0,0.06855,0.0388,0.06615,0.0398,0.06055,0.0399,0.05015,0.0411,0.06485,0.0393
0000000000000000048c_0,0,0.0691,0.05425,0.0592,0.0451,0.0633,0.0406,0.0492,0.0358,0.04325,0.03195
00000000000000000609_0,0,0.0777,0.07985,0.0763,0.0916,0.0734,0.08375,0.0823,0.0845,0.0954,0.0887
00000000000000000728_0,0,0.0511,0.081,0.1001,0.1645,0.1258,0.1145,0.1084,0.0849,0.1058,0.1063
00000000000000000020_0,0,0.03265,0.0315,0.04835,0.0296,0.03275,0.03025,0.02665,0.0268,0.032,0.0315
0000000000000000060b_0,0,0.0675,0.0465,0.0293,0.05185,0.0338,0.03675,0.0376,0.0481,0.0875,0.0374
000000000000000008eb_0,0,0.08465,0.04595,0.05285,0.047,0.0605,0.0495,0.07365,0.0391,0.0433,0.0281
000000000000000002e0_0,0,0.1119,0.09915,0.0615,0.098,0.0659,0.0984,0.0726,0.0885,0.1228,0.071
0000000000000000051f_0,0,0.0651,0.0548,0.07095,0.0635,0.08925,0.0523,0.0787,0.0468,0.07505,0.06595
0000000000000000096d_0,0,0.1114,0.0574,0.029,0.0371,0.06915,0.0321,0.09395,0.0526,0.0771,0.04935
00000000000000000a26_0,0,0.0935,0.0723999999999999,0.063,0.07515,0.0693,0.07695,0.08275,0.0695,0.02485,0.0379
000000000000000005aa_0,0,0.05845,0.10155,0.0745,0.1128,0.087,0.08205,0.0804,0.1068,0.0977,0.0947
00000000000000000178_0,0,0.0908,0.0814,0.07635,0.0755,0.0736,0.05995,0.0495,0.0552,0.06655,0.0511
000000000000000005b5_0,0,0.0978,0.07415,0.0627,0.0686,0.0670999999999999,0.0762,0.07085,0.08285,0.0855,0.0708
000000000000000000e1_0,0,0.0975,0.0892,0.0867,0.0721,0.08675,0.0651,0.0656,0.05025,0.0757,0.0635
000000000000000000e9_0,0,0.06795,0.04545,0.0735,0.0579,0.0594,0.0387,0.0542,0.0244,0.04165,0.03515
0000000000000000013b_0,0,0.0793,0.0552,0.07,0.0621,0.08115,0.0791,0.0553,0.05575,0.0868,0.0616
000000000000000004c8_0,0,0.0726499999999999,0.03975,0.0742,0.06245,0.0932,0.04415,0.06025,0.0623,0.0774499999999999,0.0291
00000000000000000533_0,0,0.0775,0.06955,0.0673,0.0486,0.0737,0.0583,0.04845,0.0445,0.0589,0.04
0000000000000000050c_0,0,0.0898,0.08805,0.1025,0.0999,0.0965,0.08595,0.0865,0.1246,0.0953,0.0855
00000000000000000088_0,0,0.1021,0.0675,0.0651,0.0511,0.03055,0.0338,0.0521,0.0614,0.0903,0.0571
0000000000000000013e_0,0,0.09225,0.09505,0.1195,0.0863,0.0993,0.06125,0.07855,0.0522,0.0605,0.07245
00000000000000000922_0,0,0.0719,0.05,0.0688,0.0472,0.0603,0.04685,0.0353,0.0427,0.05095,0.04195
00000000000000000833_0,0,0.0795,0.05255,0.0833,0.0962,0.0802,0.0456,0.04955,0.0404,0.0527,0.07785
00000000000000000457_0,0,0.0405,0.0399,0.05665,0.0341,0.0385,0.03625,0.03445,0.0999,0.08665,0.062
000000000000000004ff_0,0,0.0501,0.07,0.0877,0.0495,0.0696,0.0693,0.0753,0.04205,0.1165,0.0376
0000000000000000088a_0,0,0.1026,0.0783,0.0658,0.074,0.0776,0.0682,0.07915,0.09355,0.08365,0.0796
00000000000000000030_0,0,0.0443,0.0395999999999999,0.0525,0.0376,0.0574,0.0365,0.03315,0.0277,0.0382,0.0836
00000000000000000576_0,0,0.0629,0.0649,0.0832499999999999,0.0846,0.1278,0.0983,0.14045,0.10125,0.134,0.104
00000000000000000107_0,0,0.0578,0.0478,0.0463,0.0496,0.0391,0.0383,0.0338,0.04605,0.0481,0.0461
0000000000000000092d_0,0,0.03985,0.0608,0.0383,0.06,0.0437,0.0587,0.0456,0.0653,0.0875,0.0593
000000000000000004bc_0,0,0.0472,0.0354,0.0577,0.0404,0.04755,0.0352,0.0462,0.0452,0.04845,0.032
0000000000000000052e_0,0,0.0791,0.06665,0.0799,0.0795,0.0728,0.0595,0.0757,0.0614,0.06695,0.0628
0000000000000000096e_0,0,0.0416,0.0579,0.0613,0.0642,0.0414,0.05155,0.0725,0.0646,0.0854,0.0302
000000000000000000c6_0,0,0.0418,0.0368,0.0596,0.0388,0.0531,0.0432,0.0439,0.04445,0.0535,0.0417
00000000000000000271_0,0,0.0795,0.102,0.0773,0.0759,0.0745,0.0833,0.0709,0.0831,0.1032,0.0674
000000000000000006e5_0,0,0.0613,0.0494,0.031,0.0691,0.0469,0.0505,0.0366,0.0648,0.0622,0.0496
0000000000000000096f_0,0,0.0761,0.0381,0.044,0.0485,0.0325,0.0351,0.0355,0.0592,0.0903,0.0423
00000000000000000095_0,0,0.0638,0.0398,0.0645,0.0532,0.066,0.0382,0.04465,0.0279,0.0433,0.0317
00000000000000000970_0,0,0.0388,0.0326,0.0477,0.0502,0.0447,0.036,0.03235,0.0631,0.0453,0.026
00000000000000000436_0,0,0.0483,0.03065,0.05495,0.0298,0.03015,0.0279,0.0279,0.02735,0.021,0.0159
000000000000000000e2_0,0,0.061,0.05375,0.05605,0.0496,0.0682,0.0704,0.12205,0.054,0.0632,0.05545
00000000000000000128_0,0,0.1021,0.10105,0.1189,0.1107,0.0867,0.097,0.0832,0.0914,0.0908,0.0698999999999999
00000000000000000159_0,0,0.0775,0.0647,0.0664,0.1116,0.1588,0.13,0.1228,0.09575,0.1069,0.07655
00000000000000000532_0,0,0.08955,0.0861,0.0892,0.0784,0.0743,0.05715,0.1146,0.06355,0.12,0.0594
00000000000000000552_0,0,0.1216,0.068,0.0848,0.0693,0.0708,0.0387,0.046,0.0453,0.0878,0.0947
00000000000000000a59_0,0,0.0515,0.03745,0.05905,0.0358,0.0438,0.03345,0.0418,0.02425,0.0372,0.0245
0000000000000000003a_0,0,0.0448,0.0478,0.0776,0.0478,0.0476,0.0711,0.0628,0.05465,0.0608,0.039
00000000000000000580_0,0,0.0641,0.0482,0.0589,0.0708,0.06245,0.0432,0.0414,0.04645,0.0496,0.04925
000000000000000006b0_0,0,0.1081,0.0983499999999999,0.0542,0.0994,0.0648,0.08335,0.0683,0.0775,0.11165,0.0614
0000000000000000014d_0,0,0.09795,0.06375,0.0789,0.0655,0.09395,0.06515,0.0869,0.06205,0.1076,0.057
00000000000000000872_0,0,0.0495,0.05465,0.057,0.0479,0.04305,0.048,0.07316,0.0453,0.0511,0.03065
00000000000000000507_0,0,0.0821,0.05045,0.0914,0.0961,0.0526,0.06,0.0789,0.10315,0.0888,0.0646
000000000000000004b8_0,0,0.0623,0.051,0.0659,0.0467,0.0819,0.06505,0.059,0.0534,0.0652,0.05735
00000000000000000944_0,0,0.0591,0.0691,0.06205,0.0713,0.0848,0.0521,0.0737,0.0458,0.07955,0.05125
000000000000000000b3_0,0,0.05795,0.0465,0.0613,0.0452,0.065,0.04115,0.0461,0.0297,0.0474,0.0357
000000000000000001f9_0,0,0.08,0.0862,0.1017,0.0855,0.0841,0.08435,0.0725,0.06005,0.0957,0.0572
00000000000000000553_0,0,0.1046,0.0941,0.0966,0.09725,0.1471,0.1081,0.10555,0.12175,0.0825,0.0877
0000000000000000057c_0,0,0.0749,0.059,0.0793,0.0674,0.0379,0.04285,0.0312,0.0916,0.1484,0.0318
00000000000000000505_0,0,0.06175,0.0917,0.0736,0.0581,0.07605,0.0726,0.0782,0.0343,0.043,0.0546
000000000000000004eb_0,0,0.03865,0.04455,0.0477,0.0404,0.03915,0.0379,0.0346,0.05735,0.0721,0.10305
000000000000000005ad_0,0,0.0903,0.04275,0.0432,0.0511,0.0404,0.0453,0.0317,0.0486,0.0532,0.0454
00000000000000000622_0,0,0.0916,0.11245,0.0733,0.10655,0.07955,0.0743,0.0679,0.0474,0.086,0.0855
000000000000000000ad_0,0,0.0899,0.0494,0.1186,0.0568,0.0427,0.0578,0.0632,0.06945,0.0557,0.0592
000000000000000000c5_0,0,0.08535,0.04795,0.0477,0.04195,0.0394,0.0487,0.0316,0.0565,0.0677,0.0536
000000000000000002e1_0,0,0.06725,0.0665,0.0629,0.0928,0.0611,0.0686,0.0623,0.0624,0.0827,0.0672
0000000000000000010a_0,0,0.0532,0.0469,0.0655,0.0478,0.0808,0.039,0.0447,0.02735,0.0472,0.0344
00000000000000000295_0,0,0.1003,0.0576,0.0342,0.0791,0.0413,0.0508,0.0386,0.0446,0.0632,0.0721
0000000000000000013a_0,0,0.0421,0.0366,0.0405,0.05205,0.03205,0.033,0.0309,0.0293,0.0595,0.0379
00000000000000000476_0,0,0.03275,0.0334,0.0616,0.0305,0.03,0.0237,0.0533,0.0407,0.0811,0.044
000000000000000008d5_0,0,0.0673,0.0611,0.0817,0.0631,0.08355,0.0654,0.0676,0.0472,0.0646,0.0533
00000000000000000a3a_0,0,0.03965,0.0352,0.0602,0.14985,0.0954,0.28105,0.1623,0.3134,0.27005,0.2861
0000000000000000029c_0,0,0.0676,0.0441,0.03,0.08135,0.0468,0.0522,0.0362,0.0542,0.0613,0.0409
000000000000000000d6_0,0,0.0607,0.0638,0.0791999999999999,0.0739,0.0986,0.0783,0.0684,0.07525,0.04705,0.0518
000000000000000000e0_0,0,0.081,0.0739,0.0944,0.1128,0.0906,0.1042,0.0821,0.07055,0.0532,0.0296
0000000000000000045a_0,0,0.0504,0.036,0.05855,0.035,0.05295,0.0422499999999999,0.05805,0.0352,0.0516,0.0278
00000000000000000513_0,0,0.103,0.0797,0.0936,0.0789,0.08135,0.068,0.08915,0.0681,0.0799,0.0608
00000000000000000125_0,0,0.1068,0.0891,0.0802,0.063,0.06435,0.06235,0.1095,0.078,0.0825,0.0487
0000000000000000017b_0,0,0.08205,0.07485,0.1002,0.0687,0.1024,0.07775,0.0798,0.03825,0.07,0.059
0000000000000000018d_0,0,0.0324,0.0421,0.0308,0.0583,0.0332,0.036,0.0277,0.0296,0.0879,0.0299
00000000000000000485_0,0,0.0297,0.0306,0.0503,0.0275,0.0317,0.0363,0.10315,0.0603,0.0751,0.0451
000000000000000004ec_0,0,0.0552,0.053,0.0642,0.05235,0.05925,0.04375,0.0635,0.0368,0.0761,0.0408
0000000000000000007f_0,0,0.0523,0.033,0.0403,0.0446,0.04455,0.04115,0.03705,0.0526,0.0546,0.025
00000000000000000559_0,0,0.1329,0.102,0.1026,0.1001,0.0798,0.0419,0.0535,0.0346,0.0399,0.0362
0000000000000000009b_0,0,0.0852,0.0516999999999999,0.0507,0.046,0.06155,0.0327,0.0285,0.0311,0.0408,0.03685
00000000000000000189_0,0,0.0686,0.0578,0.0529,0.0599,0.0495,0.1153,0.0739,0.0694,0.078,0.0593
0000000000000000062e_0,0,0.0908,0.0998,0.0853,0.1112,0.073,0.08845,0.0554,0.0513999999999999,0.097,0.0883
0000000000000000046e_0,0,0.0482,0.0302,0.0467,0.0293,0.07255,0.03545,0.03025,0.022,0.0279,0.0273
00000000000000000160_0,0,0.0933,0.0813,0.0683,0.0863,0.07275,0.0761,0.05755,0.0382,0.05425,0.0742
0000000000000000006b_0,0,0.0313,0.0332,0.0403,0.0288,0.0375,0.0304,0.0308,0.0305,0.03675,0.0306
000000000000000000ba_0,0,0.0762,0.06575,0.0673,0.0551,0.072,0.0652,0.0813,0.104,0.0973,0.0981
000000000000000000f7_0,0,0.059,0.0498,0.07305,0.0613,0.0783,0.0453,0.0465,0.0285,0.04835,0.03865
0000000000000000007a_0,0,0.0292,0.02455,0.08075,0.032,0.0277,0.03405,0.03975,0.0285,0.0345,0.03935
00000000000000000022_0,0,0.0461,0.03815,0.063,0.03315,0.02935,0.0429,0.0454,0.0555,0.04245,0.0371
0000000000000000053c_0,0,0.0649,0.0581,0.0654,0.0551,0.0679,0.05735,0.0563,0.058,0.0714,0.0517
0000000000000000056d_0,0,0.042,0.0421,0.1334,0.09405,0.1032,0.05905,0.0894,0.0433,0.0565,0.031
00000000000000000103_0,0,0.0586,0.0453333333333333,0.05755,0.0484,0.07885,0.11585,0.0435,0.03605,0.0669,0.0477
0000000000000000020c_0,0,0.09145,0.08945,0.1007,0.08955,0.1046,0.08635,0.0961,0.0651,0.0927,0.0645
00000000000000000a3c_0,0,0.1045,0.0922,0.1024,0.0713,0.0786,0.0668,0.0611,0.04675,0.06205,0.0304
00000000000000000a4e_0,0,0.0416,0.0795,0.0869,0.07695,0.0436,0.1206,0.0335,0.11485,0.0933,0.089
00000000000000000530_0,0,0.0419,0.07325,0.0918,0.0588,0.0852,0.06745,0.0636,0.0592,0.0618,0.0519
0000000000000000059e_0,0,0.0761,0.0679,0.0522,0.0655,0.096,0.0508,0.0436,0.07655,0.1122,0.0515
000000000000000004ba_0,0,0.0313,0.0285,0.0625,0.0316,0.0349,0.0288,0.0536,0.0126,0.0566,0.018
00000000000000000520_0,0,0.0799,0.0768,0.0938,0.0865,0.0924,0.0594,0.0682,0.0563,0.06005,0.0642
00000000000000000568_0,0,0.0937,0.08845,0.0854,0.0938,0.09125,0.0957,0.0786,0.092,0.0516,0.0887
00000000000000000031_0,0,0.0763,0.04715,0.07015,0.03395,0.05845,0.0281,0.09635,0.0455,0.05995,0.0482
0000000000000000058b_0,0,0.0968,0.0756,0.0936,0.0972,0.08625,0.1131,0.1537,0.18665,0.17505,0.0713
00000000000000000572_0,0,0.05585,0.0657,0.068,0.0586,0.085,0.0733,0.1115,0.1044,0.0958,0.0832
0000000000000000054b_0,0,0.07695,0.0499,0.0748,0.0657,0.08905,0.0655,0.0755,0.0716,0.0738,0.06
0000000000000000051e_0,0,0.0417,0.071,0.0583,0.05595,0.05015,0.0755,0.0422,0.04615,0.0569,0.04375
00000000000000000971_0,0,0.0799,0.08055,0.0812,0.0828,0.1509,0.1204,0.1035,0.0694,0.0821,0.07265
000000000000000004fa_0,0,0.065,0.0789,0.0603,0.0525,0.08655,0.0734,0.0746,0.0592,0.053,0.0817
0000000000000000020a_0,0,0.08195,0.08275,0.0534,0.0796,0.0908,0.0716,0.068,0.0621,0.0774,0.0909
00000000000000000240_0,0,0.0717,0.0646,0.0513999999999999,0.0789,0.0547,0.0527,0.0466,0.07565,0.08,0.0776
0000000000000000022e_0,0,0.09365,0.059,0.0526,0.0855,0.04215,0.07715,0.0502,0.0865,0.0874,0.082
0000000000000000051c_0,0,0.06595,0.0699,0.11105,0.0719,0.091,0.09325,0.131,0.114,0.0989,0.06155
000000000000000000e7_0,0,0.0451,0.0489,0.0633,0.0652,0.07025,0.0506,0.045,0.0467,0.0443,0.0413
000000000000000000ef_0,0,0.0552,0.031,0.035,0.0582,0.0323,0.0373,0.0422,0.02355,0.079,0.0448
000000000000000001d1_0,0,0.07265,0.0874,0.1029,0.0941,0.1107,0.09145,0.0895,0.0659,0.1037,0.0884
00000000000000000068_0,0,0.0725,0.0581,0.0622,0.05015,0.0657,0.0646,0.08725,0.0658,0.0726499999999999,0.08675
000000000000000000dd_0,0,0.0506,0.0332999999999999,0.0521,0.03675,0.0528,0.0461,0.0522,0.0565,0.078,0.0604
00000000000000000184_0,0,0.06575,0.0668,0.0953,0.0857,0.0928,0.1008,0.08575,0.1211,0.0771,0.09255
00000000000000000254_0,0,0.0549,0.0608,0.0582,0.0724,0.0616,0.0766,0.0772,0.08095,0.0725,0.0573
000000000000000004d8_0,0,0.0487,0.04815,0.0971,0.05465,0.0658,0.0529,0.0908,0.0323,0.07725,0.0387
000000000000000008ca_0,0,0.0525,0.03875,0.06935,0.03695,0.04955,0.0331,0.0632,0.0356,0.0474,0.0362
00000000000000000526_0,0,0.0669,0.0536,0.0678,0.0518,0.0796,0.0555,0.0587,0.04255,0.0638,0.047
0000000000000000055d_0,0,0.0755,0.0715,0.0958,0.0801,0.1215,0.0965,0.0932,0.1181,0.0959,0.1027
000000000000000008f0_0,0,0.0671,0.0554,0.0606,0.0439,0.05525,0.05535,0.0841,0.0586,0.0606,0.031
000000000000000004b0_0,0,0.04965,0.0352,0.06225,0.04375,0.0648,0.0531,0.0711499999999999,0.0482,0.061,0.0313
00000000000000000130_0,0,0.0553,0.0487,0.07365,0.0622,0.0825,0.0535,0.0584,0.0547,0.0715,0.033
0000000000000000017f_0,0,0.0512,0.07605,0.0913,0.0601,0.0813,0.05895,0.0581,0.0601499999999999,0.0849,0.0587
00000000000000000630_0,0,0.054,0.0459,0.0401,0.0703,0.0449,0.0434,0.026,0.0528,0.0565,0.0448
00000000000000000972_0,0,0.08135,0.0411,0.05575,0.0325,0.07385,0.0307,0.031,0.04315,0.047,0.0314
00000000000000000a18_0,0,0.0752,0.0636,0.0345,0.04815,0.0321,0.0475,0.0585,0.04145,0.03605,0.0391
00000000000000000490_0,0,0.0479,0.0335,0.0761,0.0477,0.0386,0.0269,0.019,0.02095,0.0252,0.0109
0000000000000000001a_0,0,0.0405,0.03115,0.04855,0.0251,0.02995,0.0263,0.0294,0.02765,0.0356,0.03145
000000000000000005d2_0,0,0.0475,0.032,0.0395,0.0415,0.06085,0.0408,0.0459,0.0397,0.0541,0.0339
000000000000000008e9_0,0,0.12645,0.09165,0.0518,0.0486,0.0964,0.0447,0.107,0.07825,0.1026,0.05885
00000000000000000516_0,0,0.0802,0.06255,0.0802,0.0655,0.0855,0.06085,0.0562,0.0899,0.0783,0.0474
00000000000000000561_0,0,0.074,0.08465,0.087,0.07375,0.0746,0.075,0.0827,0.07805,0.1258,0.0733
000000000000000008d3_0,0,0.09665,0.06825,0.0578,0.0784,0.06785,0.0682,0.0712,0.0656,0.0594,0.0734
0000000000000000049d_0,0,0.0389,0.0336,0.05295,0.0355,0.03835,0.0322,0.02685,0.0318,0.0353,0.0269
0000000000000000084d_0,0,0.06595,0.0543,0.0614,0.0457,0.0703,0.0552,0.1084,0.0643,0.06165,0.07485
000000000000000004ad_0,0,0.062,0.0386,0.05305,0.0448,0.05225,0.03945,0.036,0.0366,0.04235,0.0295
00000000000000000074_0,0,0.0494,0.03755,0.06215,0.038,0.05,0.0353,0.03875,0.0296,0.0888999999999999,0.0383
00000000000000000114_0,0,0.079,0.0764,0.0826,0.0548,0.08215,0.0494,0.0736,0.05315,0.0737,0.0542
00000000000000000518_0,0,0.0545,0.0825,0.0685,0.0725,0.08035,0.0594,0.0874,0.0733,0.0774,0.1041
0000000000000000059a_0,0,0.0748,0.09235,0.0827,0.0833,0.082,0.08435,0.119,0.1383,0.0859,0.05975
000000000000000008c3_0,0,0.0372,0.03665,0.0557,0.0342,0.0383,0.046,0.2404,0.2058,0.2601,0.13
000000000000000005d5_0,0,0.0584,0.0689,0.0838,0.0929,0.0882,0.0977,0.0826,0.0703,0.0887,0.101
000000000000000004fd_0,0,0.074,0.05405,0.0675,0.061,0.09035,0.0542,0.0619,0.0453,0.0605,0.0604
00000000000000000904_0,0,0.0622,0.0444,0.0698,0.0809,0.1329,0.1128,0.12995,0.1253,0.11115,0.1027
00000000000000000115_0,0,0.05685,0.0637,0.08275,0.06185,0.074,0.03825,0.03665,0.0245,0.05495,0.0303
0000000000000000018c_0,0,0.0703,0.0538,0.0516,0.051,0.0786,0.059,0.0568,0.0947,0.0716,0.0618
00000000000000000233_0,0,0.0805,0.0784,0.0882,0.0905,0.0665999999999999,0.08825,0.0373,0.06215,0.0951,0.0899
00000000000000000584_0,0,0.06055,0.05685,0.1044,0.0728,0.07555,0.0764,0.0643,0.0649,0.0958,0.0744
000000000000000000c4_0,0,0.0776,0.0475,0.08335,0.0468,0.0738,0.04435,0.1235,0.0599,0.1186,0.0395
000000000000000004a6_0,0,0.0431,0.0316,0.0816,0.0441,0.0669,0.0407,0.04,0.0292,0.0427,0.026
0000000000000000057d_0,0,0.102,0.0748,0.1016,0.0971,0.0943,0.0985,0.0756,0.11825,0.081,0.0913
00000000000000000173_0,0,0.06925,0.0603,0.0686,0.0693,0.0873,0.0815,0.066,0.0663,0.0628,0.0538
00000000000000000550_0,0,0.0516,0.059875,0.0516,0.0543,0.0771,0.0701,0.0534,0.0423,0.0353,0.0671
0000000000000000083d_0,0,0.0973,0.06685,0.0735,0.0647,0.0936,0.12755,0.066,0.0713,0.0814,0.0835
00000000000000000896_0,0,0.0378,0.03565,0.05835,0.044,0.0436,0.04215,0.04045,0.0334,0.0496,0.0462
000000000000000001b9_0,0,0.0348,0.0523,0.032,0.05075,0.0268,0.0349,0.0249,0.0512,0.0804,0.0338
