system:index,landcover,19-1_red,19-2_red,20-1_red,20-2_red,21-1_red,21-2_red,22-1_red,22-2_red,23-1_red,23-2_red
0000000000000000042f_0,0,0.0406,0.0334,0.02,0.02285,0.0667,0.02195,0.0264,0.0288,0.0705,0.0337
0000000000000000001e_0,0,0.0355,0.037,0.0277,0.0353,0.0332,0.0301999999999999,0.0315,0.0308,0.0354,0.0378
00000000000000000921_0,0,0.044,0.02725,0.0207,0.0222,0.0294,0.03345,0.0248,0.0327,0.0443,0.0347
000000000000000000e5_0,0,0.0377,0.0424999999999999,0.0232,0.0476,0.03575,0.0388,0.0541,0.0384,0.0798,0.0782
000000000000000000d0_0,0,0.04645,0.0448,0.0332,0.0483,0.0486,0.0397,0.0978,0.0327,0.0789,0.0435
00000000000000000487_0,0,0.0501,0.0559,0.0402,0.0589,0.0512,0.0487,0.0752,0.05885,0.051,0.0372
0000000000000000002c_0,0,0.0454,0.0480499999999999,0.0433,0.0478,0.1205,0.0474,0.06975,0.0287,0.0404,0.034
0000000000000000044c_0,0,0.0375,0.0357,0.0255,0.0351,0.0395,0.03045,0.0279,0.0263,0.05645,0.0283
00000000000000000956_0,0,0.0305,0.0287,0.0261,0.0259,0.0373,0.0729,0.0691,0.0266,0.0396,0.0382
00000000000000000957_0,0,0.04215,0.03635,0.0287,0.0332999999999999,0.03875,0.10965,0.1264,0.20575,0.1948,0.1005
00000000000000000432_0,0,0.032,0.0336,0.0301,0.0297,0.0351,0.03845,0.0406,0.0368,0.0445,0.0282
0000000000000000089a_0,0,0.05515,0.0407,0.0345,0.0654,0.0381,0.047,0.047,0.0368,0.047,0.0641
00000000000000000430_0,0,0.0623,0.0457,0.0256999999999999,0.0249,0.0302,0.0212,0.035,0.0261,0.0513,0.0574
00000000000000000110_0,0,0.0456,0.0487,0.0352,0.0456,0.0648,0.04735,0.0446,0.051,0.047,0.0408
000000000000000000c3_0,0,0.0335,0.0427,0.0336,0.0316,0.0414,0.0292,0.0388,0.0406,0.0886,0.0366
0000000000000000045c_0,0,0.08785,0.071,0.0392,0.047,0.0441,0.0547,0.0536,0.0621,0.068,0.0437
00000000000000000458_0,0,0.0806,0.0362,0.041,0.0421,0.067,0.0329,0.045,0.0362,0.0781,0.0345
00000000000000000096_0,0,0.0424,0.0427,0.04425,0.0504,0.0595,0.0512,0.0657,0.07305,0.0728,0.0424
