,Sentinel-2,,,Landsat-8,,,,,,,
302,0.369,,,,,,,,,,
303,0.568,,,,,,,,,,
304,0.386,,,,,,,,,,
305,0.431,,,,,,,,,,
306,0.595,,,,,,,,,,
307,0.234,,,,,,,,,,
308,0.235,,,,,,,,,,
309,0.268,,,,,,,,,,
310,0.613,,,,,,,,,,
311,0.503,,,,,,,,,,
312,0.358,,,,,,,,,,
313,0.431,,,,,,,,,,
314,0.601,,,,,,,,,,
315,0.565,,,,,,,,,,
316,0.588,,,,,,,,,,
317,0.652,,,,,,,,,,
318,0.225,,,,,,,,,,
319,0.247,,,,,,,,,,
320,0.574,,,,,,,,,,
321,0.226,,,,,,,,,,
322,0.367,,,,,,,,,,
323,0.613,,,,,,,,,,
324,0.259,,,,,,,,,,
325,0.227,,,,,,,,,,
326,0.26,,,,,,,,,,
327,0.528,,,,,,,,,,
328,0.331,,,,,,,,,,
329,0.698,,,,,,,,,,
330,0.739,,,,,,,,,,
331,0.265,,,,,,,,,,
332,0.209,,,,,,,,,,
333,0.51,,,,,,,,,,
334,0.353,,,,,,,,,,
335,0.454,,,,,,,,,,
336,0.448,,,,,,,,,,
337,0.512,,,,,,,,,,
338,0.286,,,,,,,,,,
339,0.27,,,,,,,,,,
340,0.401,,,,,,,,,,
341,0.615,,,,,,,,,,
342,0.285,,,,,,,,,,
343,0.308,,,,,,,,,,
344,0.313,,,,,,,,,,
345,0.093,,,,,,,,,,
346,0.23,,,,,,,,,,
347,0.276,,,,,,,,,,
348,0.371,,,,,,,,,,
349,0.064,,,,,,,,,,
350,0.068,,,,,,,,,,
351,0.387,,,,,,,,,,
352,0.602,,,,,,,,,,
353,0.599,,,,,,,,,,
354,0.755,,,,,,,,,,
355,0.178,,,,,,,,,,
356,0.151,,,,,,,,,,
357,0.128,,,,,,,,,,
358,0.294,,,,,,,,,,
359,0.459,,,,,,,,,,
360,0.184,,,,,,,,,,
361,0.204,,,,,,,,,,
362,0.168,,,,,,,,,,
363,0.109,,,,,,,,,,
364,0.298,,,,,,,,,,
365,0.631,,,,,,,,,,
366,0.646,,,,,,,,,,
367,0.249,,,,,,,,,,
368,0.271,,,,,,,,,,
369,0.368,,,,,,,,,,
370,0.381,,,,,,,,,,
371,0.326,,,,,,,,,,
372,0.323,,,,,,,,,,
373,0.252,,,,,,,,,,
374,0.513,,,,,,,,,,
375,0.343,,,,,,,,,,
376,0.644,,,,,,,,,,
377,0.995,,,,,,,,,,
378,0.314,,,,,,,,,,
379,0.219,,,,,,,,,,
380,0.54,,,,,,,,,,
381,0.324,,,,,,,,,,
382,0.424,,,,,,,,,,
383,0.583,,,,,,,,,,
384,0.211,,,,,,,,,,
385,0.304,,,,,,,,,,
386,0.507,,,,,,,,,,
387,0.365,,,,,,,,,,
388,0.412,,,,,,,,,,
389,0.822,,,,,,,,,,
390,0.224,,,,,,,,,,
391,0.517,,,,,,,,,,
392,0.651,,,,,,,,,,
393,0.237,,,,,,,,,,
394,0.311,,,,,,,,,,
395,0.303,,,,,,,,,,
396,0.346,,,,,,,,,,
397,0.681,,,,,,,,,,
398,0.303,,,,,,,,,,
399,0.395,,,,,,,,,,
400,0.63,,,,,,,,,,
401,0.412,,,,,,,,,,
402,0.471,,,,,,,,,,
403,0.623,,,,,,,,,,
404,0.42,,,,,,,,,,
405,0.469,,,,,,,,,,
406,0.568,,,,,,,,,,
407,0.312,,,,,,,,,,
408,0.26,,,,,,,,,,
409,0.336,,,,,,,,,,
410,0.608,,,,,,,,,,
411,0.31,,,,,,,,,,
412,0.582,,,,,,,,,,
413,0.284,,,,,,,,,,
414,0.292,,,,,,,,,,
415,0.444,,,,,,,,,,
416,0.491,,,,,,,,,,
417,0.353,,,,,,,,,,
418,0.505,,,,,,,,,,
419,0.564,,,,,,,,,,
420,0.427,,,,,,,,,,
421,0.478,,,,,,,,,,
422,0.359,,,,,,,,,,
423,0.645,,,,,,,,,,
424,0.581,,,,,,,,,,
425,0.575,,,,,,,,,,
426,0.555,,,,,,,,,,
