system:index,blue_L8_2,green_L8_2,landcover_L8_2,nir_L8_2,red_L8_2,swir1_L8_2,swir2_L8_2
00000000000000000030_0,0.044820000000000100,0.07096000000000010,0,0.3364600000000000,0.05550000000000010,0.22674000000000000,0.12734000000000000
00000000000000000033_0,0.11262000000000000,0.14428000000000000,0,0.12260000000000000,0.14044000000000000,0.12408000000000000,0.09938000000000010
00000000000000000034_0,0.08232000000000000,0.11432000000000000,0,0.50334,0.09968000000000010,0.3030600000000000,0.15358000000000000
00000000000000000035_0,0.12168000000000000,0.15462000000000000,0,0.17266000000000000,0.16536000000000000,0.13388000000000000,0.09848000000000000
00000000000000000036_0,0.13842000000000000,0.17152000000000000,0,0.38822000000000000,0.19674000000000000,0.37184000000000000,0.2628400000000000
00000000000000000037_0,0.19766000000000000,0.26226000000000000,0,0.38816000000000000,0.3092000000000000,0.39846000000000000,0.33080000000000000
00000000000000000038_0,0.09058000000000010,0.12026000000000000,0,0.31164000000000000,0.12406000000000000,0.29718000000000000,0.19602000000000000
00000000000000000039_0,0.07088000000000010,0.11480000000000000,0,0.36144000000000000,0.10040000000000000,0.23520000000000000,0.14160000000000000
0000000000000000003a_0,0.09794000000000010,0.15408000000000000,0,0.03688000000000010,0.13572000000000000,0.014420000000000000,0.009720000000000060
0000000000000000003e_0,0.13132000000000000,0.16052000000000000,0,0.28116,0.20452000000000000,0.24120000000000000,0.17620000000000000
00000000000000000040_0,0.06554000000000000,0.11516000000000000,0,0.037300000000000100,0.07798000000000010,0.04132000000000000,0.03640000000000000
00000000000000000041_0,0.08814000000000010,0.13804000000000000,0,0.047900000000000000,0.11578000000000000,0.01660000000000010,0.010320000000000100
00000000000000000042_0,0.10956000000000000,0.17342000000000000,0,0.06406000000000010,0.14286000000000000,0.06626000000000000,0.05770000000000010
00000000000000000046_0,0.03600000000000000,0.08906000000000010,0,0.008120000000000040,0.047400000000000000,0.01980000000000000,0.016200000000000000
00000000000000000047_0,0.013360000000000000,0.052200000000000000,0,0.013720000000000100,0.027200000000000100,0.012840000000000000,0.010960000000000000
00000000000000000048_0,0.10044000000000000,0.14816000000000000,0,0.4885200000000000,0.15084000000000000,0.3522800000000000,0.22148000000000000
0000000000000000004a_0,0.056700000000000100,0.09344000000000010,0,0.6129000000000000,0.06006000000000000,0.20154000000000000,0.07806000000000010
0000000000000000004b_0,0.06046000000000000,0.11218000000000000,0,0.5897800000000000,0.07880000000000010,0.25822000000000000,0.12088000000000000
0000000000000000004c_0,0.13204000000000000,0.16288000000000000,0,0.19820000000000000,0.16484000000000000,0.18788000000000000,0.15708000000000000
0000000000000000004d_0,0.029360000000000100,0.14184000000000000,0,0.03492000000000010,0.12208000000000000,0.03496000000000010,0.03640000000000000
0000000000000000004e_0,0.10240000000000000,0.16096000000000000,0,0.32648000000000000,0.13776000000000000,0.2519200000000000,0.11904000000000000
00000000000000000050_0,0.04712000000000010,0.06568000000000010,0,0.07256000000000010,0.05140000000000010,0.049520000000000100,0.03436000000000010
00000000000000000054_0,0.17840000000000000,0.20260000000000000,0,0.3670000000000000,0.20574000000000000,0.3554400000000000,0.2998800000000000
