system:index,landcover,nir,red,swir1,swir2,.geo
00000000000000000292,1,0.0552,0.15021,0.010849999999999999,0.010965,"{""type"":""Point"",""coordinates"":[123.10032038228839,14.087334739279928]}"
00000000000000000258,1,0.06689999999999999,0.19080000000000003,0.011969999999999998,0.01105,"{""type"":""Point"",""coordinates"":[123.09753790323106,14.087963472528465]}"
0000000000000000028a,1,0.0441,0.15606,0.013369999999999998,0.01105,"{""type"":""Point"",""coordinates"":[123.09591924954866,14.08688437007353]}"
0000000000000000028d,1,0.04139999999999999,0.13968000000000003,0.012669999999999999,0.01105,"{""type"":""Point"",""coordinates"":[123.09609761359079,14.087963472528465]}"
00000000000000000299,1,0.06689999999999999,0.1899,0.011969999999999998,0.01105,"{""type"":""Point"",""coordinates"":[123.09753790323106,14.087874290507395]}"
0000000000000000029a,1,0.05452499999999999,0.14175,0.010429999999999998,0.01105,"{""type"":""Point"",""coordinates"":[123.09995919510308,14.088235477692722]}"
000000000000000002a0,1,0.03705,0.16416000000000003,0.0133,0.01105,"{""type"":""Point"",""coordinates"":[123.09690916998252,14.08589890874072]}"
0000000000000000027d,1,0.03555,0.17370000000000002,0.011899999999999997,0.011135,"{""type"":""Point"",""coordinates"":[123.09681552886039,14.08598809076179]}"
000000000000000002ba,1,0.07995,0.17118,0.012179999999999998,0.01122,"{""type"":""Point"",""coordinates"":[123.09708753402465,14.088413841734862]}"
00000000000000001cef,1,0.07185,0.01548,0.01764,0.01139,"{""type"":""Point"",""coordinates"":[144.14084287173281,-7.7740636630933455]}"
0000000000000000025e,1,0.056924999999999996,0.15705000000000002,0.011409999999999998,0.011475,"{""type"":""Point"",""coordinates"":[123.09888455174921,14.088324659713795]}"
00000000000000000265,1,0.052724999999999994,0.14346,0.01064,0.011475,"{""type"":""Point"",""coordinates"":[123.10005283622517,14.088324659713795]}"
0000000000000000027f,1,0.08549999999999999,0.16866,0.013999999999999999,0.01156,"{""type"":""Point"",""coordinates"":[123.09717671604574,14.088681387798072]}"
00000000000000001cff,1,0.07784999999999999,0.01998,0.01988,0.01156,"{""type"":""Point"",""coordinates"":[144.1368876490984,-7.77379611703014]}"
0000000000000000026a,1,0.06434999999999999,0.15588000000000002,0.011619999999999998,0.01173,"{""type"":""Point"",""coordinates"":[123.09609761359079,14.088235477692722]}"
000000000000000002b3,1,0.04529999999999999,0.13734000000000002,0.013579999999999998,0.01173,"{""type"":""Point"",""coordinates"":[123.10023120026734,14.085537721555392]}"
00000000000000001d28,1,0.08714999999999999,0.01998,0.022959999999999998,0.01173,"{""type"":""Point"",""coordinates"":[144.10930810908286,-7.749988976505794]}"
0000000000000000025d,1,0.03795,0.14256000000000002,0.01232,0.0119,"{""type"":""Point"",""coordinates"":[123.10040956430947,14.08589890874072]}"
0000000000000000028c,1,0.037649999999999996,0.16434,0.01568,0.0119,"{""type"":""Point"",""coordinates"":[123.09627597763293,14.085537721555392]}"
00000000000000001cf2,1,0.0837,0.022500000000000003,0.01918,0.0119,"{""type"":""Point"",""coordinates"":[144.14290743552058,-7.770202081581061]}"
