system:index,landcover,nir,red,swir1,swir2,.geo
00000000000000001da3,1,0.414,0.05166,0.1135399999999999,0.05253,"{""type"":""Point"",""coordinates"":[144.9255198023098,-7.673274601982308]}"
00000000000000001e60,1,0.2735999999999999,0.05076,0.0951999999999999,0.05253,"{""type"":""Point"",""coordinates"":[143.39865225599308,-8.993886429071894]}"
00000000000000002293,1,0.27735,0.0414,0.1052799999999999,0.05253,"{""type"":""Point"",""coordinates"":[-46.39901548399317,-23.912660691676287]}"
0000000000000000233c,1,0.33135,0.03438,0.11424,0.05253,"{""type"":""Point"",""coordinates"":[-46.45614994579096,-23.910324122724283]}"
000000000000000023a2,1,0.32535,0.03618,0.1146599999999999,0.05253,"{""type"":""Point"",""coordinates"":[-46.36533143463543,-23.890111017649012]}"
000000000000000023ca,1,0.31455,0.03582,0.11424,0.05253,"{""type"":""Point"",""coordinates"":[-46.3649702474501,-23.89020019967008]}"
0000000000000000283d,1,0.40185,0.05526,0.1153599999999999,0.05253,"{""type"":""Point"",""coordinates"":[-62.84735058995056,10.451762763889702]}"
0000000000000000285e,1,0.436725,0.03807,0.11886,0.05253,"{""type"":""Point"",""coordinates"":[-62.85588530936685,10.478535206614593]}"
00000000000000000000,1,0.517125,0.042435,0.1188949999999999,0.0525866666666666,"{""type"":""Point"",""coordinates"":[119.97858399858991,16.223440344326857]}"
0000000000000000001a,1,0.517125,0.042696,0.1188949999999999,0.0525866666666666,"{""type"":""Point"",""coordinates"":[119.97858399858991,16.223529526347924]}"
0000000000000000001e,1,0.517125,0.04275,0.1188949999999999,0.0525866666666666,"{""type"":""Point"",""coordinates"":[119.97867318061097,16.22344034432686]}"
00000000000000000041,1,0.517125,0.042435,0.1188949999999999,0.0525866666666666,"{""type"":""Point"",""coordinates"":[119.97858399858991,16.223440344326857]}"
00000000000000000061,1,0.517125,0.042696,0.1188949999999999,0.0525866666666666,"{""type"":""Point"",""coordinates"":[119.97858399858991,16.223529526347924]}"
00000000000000000063,1,0.517125,0.041724,0.1188949999999999,0.0525866666666666,"{""type"":""Point"",""coordinates"":[119.97867318061097,16.223529526347924]}"
0000000000000000284b,1,0.5031749999999999,0.03708,0.1224299999999999,0.052615,"{""type"":""Point"",""coordinates"":[-62.85085544337858,10.459040016808924]}"
00000000000000001747,1,0.515925,0.03483,0.1199799999999999,0.052615,"{""type"":""Point"",""coordinates"":[40.41821498235151,-10.474758348022323]}"
00000000000000000028,1,0.4222124999999999,0.04512,0.0990499999999999,0.0526575,"{""type"":""Point"",""coordinates"":[119.97894518577523,16.223618708369]}"
00000000000000000034,1,0.4222124999999999,0.051885,0.0990499999999999,0.0526575,"{""type"":""Point"",""coordinates"":[119.97894518577523,16.223707890390063]}"
00000000000000000059,1,0.4222124999999999,0.04566,0.0990499999999999,0.0526575,"{""type"":""Point"",""coordinates"":[119.9790343677963,16.223618708369]}"
000000000000000000d5,1,0.4841999999999999,0.03816,0.11781,0.0527,"{""type"":""Point"",""coordinates"":[119.96447986195787,16.231524694536752]}"
0000000000000000010a,1,0.4841999999999999,0.03816,0.11781,0.0527,"{""type"":""Point"",""coordinates"":[119.96447986195787,16.231524694536752]}"
0000000000000000011f,1,0.4841999999999999,0.0405,0.11781,0.0527,"{""type"":""Point"",""coordinates"":[119.96457350307998,16.231435512515684]}"
00000000000000000128,1,0.4841999999999999,0.0405,0.11781,0.0527,"{""type"":""Point"",""coordinates"":[119.96457350307998,16.231435512515684]}"
00000000000000000336,1,0.51345,0.0576,0.12369,0.0527,"{""type"":""Point"",""coordinates"":[110.16556962420212,20.93312504057218]}"
000000000000000003bf,1,0.36195,0.08964,0.10318,0.0527,"{""type"":""Point"",""coordinates"":[107.3964232790017,21.203070100145684]}"
0000000000000000071c,1,0.535125,0.03339,0.1185099999999999,0.0527,"{""type"":""Point"",""coordinates"":[98.63497195144171,11.979976958724567]}"
00000000000000000738,1,0.4696499999999999,0.03924,0.1177399999999999,0.0527,"{""type"":""Point"",""coordinates"":[98.63416485415105,11.980248963888828]}"
0000000000000000173b,1,0.4931999999999999,0.0378,0.1187199999999999,0.0527,"{""type"":""Point"",""coordinates"":[40.41704669787549,-10.477906473366057]}"
0000000000000000188a,1,0.3869249999999999,0.04653,0.0919799999999999,0.0527,"{""type"":""Point"",""coordinates"":[40.38560557634766,-10.42140074481679]}"
00000000000000002336,1,0.3356999999999999,0.03618,0.1118599999999999,0.0527,"{""type"":""Point"",""coordinates"":[-46.45201635911442,-23.905294256735996]}"
000000000000000023cd,1,0.3560249999999999,0.03483,0.1199099999999999,0.0527,"{""type"":""Point"",""coordinates"":[-46.36371278095303,-23.890472204834342]}"
000000000000000028ed,1,0.4911,0.03474,0.1201199999999999,0.0527,"{""type"":""Point"",""coordinates"":[-62.798300478362655,10.453470599593174]}"
00000000000000002020,1,0.2840076923076923,0.0395836363636363,0.0949759999999999,0.052734,"{""type"":""Point"",""coordinates"":[151.33356015318526,-33.47836886253893]}"
000000000000000017cf,1,0.4263749999999999,0.05508,0.0982099999999999,0.052785,"{""type"":""Point"",""coordinates"":[40.403303748428776,-10.446554533859278]}"
000000000000000022ce,1,0.3224249999999999,0.03501,0.1200499999999999,0.052785,"{""type"":""Point"",""coordinates"":[-46.3943468051902,-23.897655816631445]}"
00000000000000000003,1,0.5098499999999999,0.040275,0.1199099999999999,0.05287,"{""type"":""Point"",""coordinates"":[119.9790343677963,16.223351162305786]}"
0000000000000000000f,1,0.5098499999999999,0.03978,0.1199099999999999,0.05287,"{""type"":""Point"",""coordinates"":[119.97894518577523,16.22335116230579]}"
0000000000000000002b,1,0.5098499999999999,0.040275,0.1199099999999999,0.05287,"{""type"":""Point"",""coordinates"":[119.9790343677963,16.223351162305786]}"
00000000000000000369,1,0.4264499999999999,0.05382,0.1083599999999999,0.05287,"{""type"":""Point"",""coordinates"":[110.16377260647756,20.927738446499617]}"
00000000000000001729,1,0.50595,0.036,0.12068,0.05287,"{""type"":""Point"",""coordinates"":[40.418032159208316,-10.477456104159659]}"
00000000000000001745,1,0.42405,0.04446,0.1013599999999999,0.05287,"{""type"":""Point"",""coordinates"":[40.42153701263632,-10.477545286180726]}"
0000000000000000180d,1,0.3903,0.05148,0.0965999999999999,0.05287,"{""type"":""Point"",""coordinates"":[40.394769029012494,-10.418257078574108]}"
00000000000000001a43,1,0.4014,0.04788,0.1073799999999999,0.05287,"{""type"":""Point"",""coordinates"":[39.297567082902646,-7.75178599423033]}"
00000000000000001a8b,1,0.4091999999999999,0.03474,0.1005199999999999,0.05287,"{""type"":""Point"",""coordinates"":[39.30214657968453,-7.749543066400447]}"
00000000000000001e6d,1,0.4595249999999999,0.0333,0.1114399999999999,0.05287,"{""type"":""Point"",""coordinates"":[143.418504173883,-8.992000229326285]}"
000000000000000021bf,1,0.2844,0.03492,0.1042999999999999,0.05287,"{""type"":""Point"",""coordinates"":[-48.03359261625587,-25.122597630619346]}"
0000000000000000229d,1,0.2573999999999999,0.04482,0.1013599999999999,0.05287,"{""type"":""Point"",""coordinates"":[-46.40153487608836,-23.913646153009093]}"
000000000000000023b3,1,0.376725,0.0396,0.1250899999999999,0.05287,"{""type"":""Point"",""coordinates"":[-46.36335605286875,-23.89154684818822]}"
000000000000000023da,1,0.3461249999999999,0.03627,0.1200499999999999,0.05287,"{""type"":""Point"",""coordinates"":[-46.36389114499517,-23.887685266675938]}"
00000000000000000006,1,0.4978499999999999,0.0423,0.1217066666666666,0.052955,"{""type"":""Point"",""coordinates"":[119.9781380884846,16.22335116230579]}"
00000000000000000009,1,0.4978499999999999,0.0423,0.1217066666666666,0.052955,"{""type"":""Point"",""coordinates"":[119.9781380884846,16.22335116230579]}"
000000000000000013b2,1,0.3208499999999999,0.0576,0.1141,0.052955,"{""type"":""Point"",""coordinates"":[13.202047111634052,-9.244068752776528]}"
000000000000000023a1,1,0.3382499999999999,0.03411,0.1189299999999999,0.052955,"{""type"":""Point"",""coordinates"":[-46.36622771394717,-23.89163603020929]}"
0000000000000000285c,1,0.51735,0.03348,0.12677,0.052955,"{""type"":""Point"",""coordinates"":[-62.85660322463646,10.46631726972815]}"
0000000000000000204f,1,0.3677399999999999,0.03429,0.1009866666666666,0.0530211111111111,"{""type"":""Point"",""coordinates"":[151.3299661177362,-33.47980469307813]}"
000000000000000000e4,1,0.5331374999999999,0.03864,0.1220099999999999,0.05304,"{""type"":""Point"",""coordinates"":[119.96484104914319,16.231346330494617]}"
000000000000000000f7,1,0.5331374999999999,0.03864,0.1220099999999999,0.05304,"{""type"":""Point"",""coordinates"":[119.96484104914319,16.231346330494617]}"
00000000000000000122,1,0.501975,0.04113,0.1213799999999999,0.05304,"{""type"":""Point"",""coordinates"":[119.96439067993681,16.23089596128822]}"
00000000000000000131,1,0.4411499999999999,0.04149,0.1154299999999999,0.05304,"{""type"":""Point"",""coordinates"":[119.97705898602965,16.222900793099388]}"
000000000000000003de,1,0.4400999999999999,0.0711,0.1213799999999999,0.05304,"{""type"":""Point"",""coordinates"":[107.3964232790017,21.203609651373153]}"
00000000000000000529,1,0.348,0.1296,0.1068199999999999,0.05304,"{""type"":""Point"",""coordinates"":[107.36749709046798,21.21618431634387]}"
00000000000000000739,1,0.5025,0.03537,0.1231299999999999,0.05304,"{""type"":""Point"",""coordinates"":[98.6427887555884,11.97189260851467]}"
000000000000000017af,1,0.4380749999999999,0.04878,0.09786,0.05304,"{""type"":""Point"",""coordinates"":[40.40518994817439,-10.451223212662237]}"
000000000000000018a9,1,0.4074,0.04242,0.09422,0.05304,"{""type"":""Point"",""coordinates"":[39.93887499640923,-10.106989529538321]}"
00000000000000001951,1,0.481575,0.03807,0.1080799999999999,0.05304,"{""type"":""Point"",""coordinates"":[39.29801299300799,-7.850510491553623]}"
00000000000000001a90,1,0.4271999999999999,0.04626,0.1030399999999999,0.05304,"{""type"":""Point"",""coordinates"":[39.323795515299025,-7.768677069020786]}"
00000000000000001abe,1,0.4160999999999999,0.03897,0.0963899999999999,0.05304,"{""type"":""Point"",""coordinates"":[39.3200231158078,-7.761488998122626]}"
00000000000000001b0d,1,0.52455,0.0495,0.1055599999999999,0.05304,"{""type"":""Point"",""coordinates"":[41.11171221458761,-2.1065952742752225]}"
0000000000000000213a,1,0.2938499999999999,0.03456,0.10976,0.05304,"{""type"":""Point"",""coordinates"":[-48.03754337978923,-25.223029963646106]}"
000000000000000021de,1,0.2919,0.03456,0.1072399999999999,0.05304,"{""type"":""Point"",""coordinates"":[-48.03260269582201,-25.126102484047355]}"
0000000000000000227b,1,0.3237,0.0396,0.1132599999999999,0.05304,"{""type"":""Point"",""coordinates"":[-46.392188600280335,-23.91328942492482]}"
0000000000000000232f,1,0.37005,0.03384,0.1194199999999999,0.05304,"{""type"":""Point"",""coordinates"":[-46.45084807463842,-23.911309584057094]}"
00000000000000002333,1,0.3265499999999999,0.0369,0.1132599999999999,0.05304,"{""type"":""Point"",""coordinates"":[-46.45444211008749,-23.91005211756002]}"
00000000000000002365,1,0.3265499999999999,0.03654,0.1132599999999999,0.05304,"{""type"":""Point"",""coordinates"":[-46.45453129210856,-23.91005211756002]}"
000000000000000023ab,1,0.3363,0.03708,0.1184399999999999,0.05304,"{""type"":""Point"",""coordinates"":[-46.365688162719714,-23.89056138685541]}"
000000000000000023b0,1,0.36405,0.03564,0.12068,0.05304,"{""type"":""Point"",""coordinates"":[-46.365598980698636,-23.888492363966613]}"
000000000000000023c6,1,0.3662999999999999,0.03429,0.1203299999999999,0.05304,"{""type"":""Point"",""coordinates"":[-46.36730681640211,-23.889843471585806]}"
000000000000000023e5,1,0.3544499999999999,0.03321,0.1180199999999999,0.05304,"{""type"":""Point"",""coordinates"":[-46.36200494524956,-23.88840318194554]}"
0000000000000000175d,1,0.4178999999999999,0.04212,0.10066,0.053125,"{""type"":""Point"",""coordinates"":[40.422254927905925,-10.477545286180726]}"
000000000000000017d0,1,0.3657749999999999,0.08586,0.09933,0.053125,"{""type"":""Point"",""coordinates"":[40.40258137405812,-10.450237751329423]}"
